Region,Year,Rural_population,Population,Female_population,Male_population,Urban_population,Food supply (kcal),Food Supply (kcal/day),Protein Supply (g/day),Protein Supply (tons),Undernourished_People,Undernourishment_Scale,GDP,GNI
Africa,2010,640859.299,1055233.393,529367.256,525866.141,408587.045,940092513.25,2560.0,66.69,24488717.65,167.4,Severe,1943.618265,1887.636832
Africa,2011,652803.773,1082675.797,542999.555,539676.242,424130.04,966396558.04,2565.0,66.71,25132849.78,169.0,Severe,2113.039197,2039.685687
Africa,2012,665140.073,1110797.233,556975.054,553822.18,440145.195,1027158229.16,2572.0,67.46,26940470.55,171.1,Severe,2208.155882,2138.1806
Africa,2013,677663.811,1140180.579,571589.936,568590.645,456734.381,1054210174.11,2572.0,67.33,27594605.38,176.1,Severe,2213.490703,2137.481104
Africa,2014,690251.653,1170299.019,586558.108,583740.913,473878.136,1084560487.67,2577.0,67.57,28433189.14,181.4,Severe,2271.002854,2204.494279
Africa,2015,702838.816,1201107.939,601809.613,599298.323,491531.092,1110452373.37,2571.0,67.15,29009374.58,192.1,Severe,2008.980231,1963.300868
Africa,2016,715396.624,1232111.607,617228.434,614883.178,509683.886,1133468516.67,2557.0,66.66,29552977.45,207.0,Severe,1837.010359,1776.701189
Africa,2017,727896.702,1263333.738,632814.077,630519.664,528371.323,1166343896.92,2564.0,66.88,30420118.89,211.6,Severe,1866.022542,1795.047272
Africa,2018,740318.336,1295265.048,648710.305,646554.745,547602.182,1197789941.15,2567.0,66.81,31169099.3,221.2,Severe,1919.051829,1851.105055
Africa,2019,752651.097,1327701.165,664874.241,662826.92,567387.619,1239543061.25,2571.0,66.57,32092237.78,231.0,Severe,1942.458294,1874.107676
Africa,2020,764884.396,1360677.233,681316.821,679360.411,587737.793,1271060082.76,2572.0,66.4,32808165.54,256.5,Severe,1801.177923,1747.515534
Africa,2021,777000.214,1393676.446,697793.092,695883.356,608654.401,1302756753.78,2574.0,66.42,33615487.15,269.6,Severe,1964.499025,1899.726817
Asia,2010,2317409.973,4221171.013,2067282.252,2153888.755,1877015.239,4151574944.3,2703.0,81.5,125165612.71,391.4,Severe,4930.517785,4935.849783
Asia,2011,2314890.048,4269623.981,2091210.298,2178413.68,1925390.928,4244742819.85,2733.0,82.21,127702097.64,362.1,Severe,5661.170081,5659.812488
Asia,2012,2312473.424,4318321.902,2115235.771,2203086.13,1973541.307,4313390852.74,2746.0,82.59,129736862.04,359.6,Severe,5933.496927,5938.268216
Asia,2013,2309339.171,4366453.71,2139004.106,2227449.598,2022052.034,4379125684.4,2757.0,83.4,132458847.19,345.1,Severe,5963.136424,5956.668377
Asia,2014,2305288.389,4413673.35,2162338.86,2251334.485,2070811.266,4508834257.1,2809.0,84.83,136178981.99,317.8,Severe,6093.473142,6112.261914
Asia,2015,2300024.203,4459437.462,2185010.466,2274426.989,2119873.398,4561739321.84,2813.0,85.46,138600370.93,336.3,Severe,5958.6206,5971.272889
Asia,2016,2293796.971,4504153.487,2207326.354,2296827.143,2168879.76,4635126543.66,2830.0,86.8,142184412.48,314.7,Severe,6140.362509,6151.52907
Asia,2017,2286704.694,4548303.45,2229546.541,2318756.908,2217723.679,4735807804.8,2863.0,88.17,145835044.72,284.9,Severe,6515.62931,6532.858563
Asia,2018,2279002.514,4590021.498,2250689.088,2339332.417,2266130.58,4796125678.74,2873.0,88.31,147401067.17,289.6,Severe,6944.484064,6946.847007
Asia,2019,2270755.523,4628967.397,2270579.509,2358387.888,2314051.549,4862510933.5,2886.0,89.3,150473510.68,305.7,Severe,7026.853696,7042.138962
Asia,2020,2261989.775,4664324.072,2288978.413,2375345.666,2361464.416,4925331900.6,2901.0,90.68,153975098.82,361.7,Severe,6887.028476,6887.819168
Asia,2021,2252719.984,4694576.163,2304987.17,2389588.996,2408318.385,4999812246.34,2926.0,92.22,157600510.28,384.6,Severe,7862.698239,7860.579296
Central America,2010,44851.238,156064.198,79387.32,76676.879,115705.357,171373837.19,3008.0,85.61,4876730.83,10.0,Low,8062.57189,7938.430834
Central America,2011,44986.303,158384.478,80564.637,77819.845,118042.061,173142333.31,2995.0,85.17,4923824.06,10.0,Low,8860.731354,8694.889585
Central America,2012,45101.039,160696.992,81735.446,78961.546,120366.085,175937275.56,3000.0,85.63,5022520.26,9.9,Low,8994.378156,8775.656323
Central America,2013,45195.523,162936.805,82873.021,80063.781,122680.013,177999859.85,2993.0,86.52,5145565.7,10.5,Moderate,9398.59103,9103.538457
Central America,2014,45271.43,165101.091,83974.396,81126.695,124991.386,181750463.99,3016.0,87.01,5243255.58,10.7,Moderate,9580.813718,9311.755175
Central America,2015,45330.806,167187.385,85039.522,82147.862,127304.303,184875888.94,3030.0,87.4,5333314.78,10.7,Moderate,8653.818948,8397.281764
Central America,2016,45373.886,169249.622,86095.358,83154.264,129614.87,188997424.14,3059.0,88.37,5458919.58,10.2,Moderate,8024.817016,7779.538472
Central America,2017,45398.572,171256.607,87127.069,84129.537,131917.745,192037817.83,3072.0,88.9,5557082.46,10.2,Moderate,8474.523568,8221.877136
Central America,2018,45404.518,173093.517,88079.486,85014.031,134211.645,194637040.82,3081.0,90.37,5709237.12,10.4,Moderate,8808.819376,8536.824305
Central America,2019,45391.56,174800.778,88971.476,85829.299,136495.379,198844338.3,3117.0,91.4,5831334.91,9.7,Low,9059.340613,8771.280991
Central America,2020,45359.568,176343.831,89806.042,86537.789,138767.686,200957573.72,3122.0,91.29,5876002.49,9.9,Low,7834.205837,7570.738116
Central America,2021,45308.453,177661.928,90559.303,87102.627,141026.955,203892407.5,3144.0,92.15,5975656.57,10.3,Moderate,9037.7069,8759.546802
Europe,2010,199490.93,736276.813,382196.58,354080.235,537672.65,902629140.81,3371.0,108.57,29066685.37,384.6,Severe,27033.696023,27026.009085
Europe,2011,198365.242,737589.669,382760.755,354828.914,539812.562,909151429.2,3390.0,108.45,29086548.58,384.6,Severe,29862.465236,29823.00165
Europe,2012,197240.71,738907.598,383299.113,355608.473,541735.832,907632913.17,3378.0,108.38,29119445.91,384.6,Severe,28577.05949,28522.388503
Europe,2013,196057.9,740013.807,383721.477,356292.334,543563.282,909336178.7,3379.0,108.28,29136860.27,384.6,Severe,29715.344437,29654.525452
Europe,2014,194873.493,741014.145,384096.721,356917.43,545337.237,908444330.29,3371.0,107.83,29056151.22,384.6,Severe,30136.583126,30058.515119
Europe,2015,193666.746,742107.45,384506.917,357600.524,547147.213,907966700.48,3365.0,108.4,29251833.42,384.6,Severe,25856.281071,25730.54813
Europe,2016,192416.993,743318.586,384977.4,358341.186,549030.165,913781688.37,3381.0,108.84,29419677.92,384.6,Severe,25791.055336,25694.653208
Europe,2017,191114.577,744449.362,385418.186,359031.175,550959.276,919388183.84,3396.0,109.34,29600380.4,384.6,Severe,27430.590819,27368.232558
Europe,2018,189736.785,745359.133,385753.901,359605.234,552911.225,922783828.61,3404.0,110.32,29903787.9,384.6,Severe,29542.647934,29510.908873
Europe,2019,188270.268,746189.647,386081.661,360107.978,554832.332,930694918.54,3430.0,110.97,30112671.35,384.6,Severe,29134.252053,29116.687971
Europe,2020,186706.006,746225.359,386052.319,360173.037,556684.039,934676124.84,3444.0,111.46,30249378.8,384.6,Severe,28206.017036,28062.126382
Europe,2021,185042.265,745173.77,385494.281,359679.497,558453.858,936619123.83,3456.0,112.01,30356527.57,384.6,Severe,32265.653868,32370.254251
Northern America,2010,65867.231,345272.107,175103.374,170168.733,277069.696,467715938.51,3713.0,118.23,14894502.68,269.6,Severe,48297.177033,48560.974818
Northern America,2011,65813.919,348326.005,176579.677,171746.332,279902.483,472031286.8,3714.0,116.32,14782858.5,269.6,Severe,49958.555805,50579.589901
Northern America,2012,65753.139,351468.985,178021.875,173447.11,282608.914,480400240.4,3746.0,117.14,15021503.29,269.6,Severe,51475.337878,52582.852167
Northern America,2013,65653.885,354564.457,179445.203,175119.253,285263.744,483067995.05,3734.0,116.92,15125561.65,269.6,Severe,52846.172984,53742.658804
Northern America,2014,65528.82,357563.869,180830.936,176732.932,287919.728,485287477.27,3720.0,116.2,15160203.04,269.6,Severe,54315.37803,55615.58972
Northern America,2015,65387.12,360464.919,182179.441,178285.477,290616.421,490792724.08,3732.0,117.02,15391124.98,269.6,Severe,55097.214292,56299.2629
Northern America,2016,65230.924,363448.679,183570.953,179877.725,293362.886,498469641.74,3759.0,118.55,15721292.5,269.6,Severe,55972.378586,56821.423458
Northern America,2017,65054.421,366470.739,184982.7,181488.038,296153.39,504260590.73,3771.0,119.49,15977872.76,269.6,Severe,58045.390815,59109.868037
Northern America,2018,64857.38,369300.737,186308.418,182992.32,298987.11,512186447.3,3801.0,121.31,16345836.24,269.6,Severe,60634.938727,61656.748313
Northern America,2019,64638.685,371967.923,187564.623,184403.3,301858.117,522058265.62,3847.0,122.62,16642407.83,269.6,Severe,62574.850056,63556.457837
Northern America,2020,64397.379,373956.671,188562.314,185394.358,304761.178,527299420.16,3864.0,124.62,17003793.06,269.6,Severe,61453.460155,62534.065423
Northern America,2021,64133.908,375278.947,189313.816,185965.129,307697.259,528658315.38,3861.0,121.18,16593330.5,269.6,Severe,68233.00578,69016.493665
Oceania,2010,11694.723,37102.764,18463.859,18638.906,24940.843,41779382.8,3137.0,104.89,1396940.67,2.7,Low,40324.919437,38677.206774
Oceania,2011,11882.268,37730.133,18779.31,18950.82,25355.609,42583774.76,3143.0,105.49,1429051.03,2.6,Low,46980.992812,45470.100586
Oceania,2012,12065.277,38383.409,19108.406,19275.003,25759.169,43731936.34,3172.0,104.5,1440669.79,2.6,Low,47598.974633,46334.510314
Oceania,2013,12246.5,39057.445,19449.937,19607.51,26152.898,44495522.08,3171.0,104.15,1461534.11,2.6,Low,45952.661765,44673.957982
Oceania,2014,12426.231,39728.972,19793.312,19935.663,26544.158,45141928.18,3162.0,103.66,1480142.54,2.5,Low,43495.189975,42520.676287
Oceania,2015,12605.39,40403.283,20139.831,20263.455,26937.59,45583077.47,3138.0,103.42,1502101.28,2.8,Low,36630.825877,35737.600857
Oceania,2016,12783.918,41100.875,20497.236,20603.64,27333.514,46510784.86,3147.0,104.49,1544401.66,2.8,Low,37769.329272,36735.908262
Oceania,2017,12959.749,41816.928,20860.438,20956.485,27731.037,46938980.38,3120.0,102.04,1534948.29,2.8,Low,40175.876992,38901.841188
Oceania,2018,13132.183,42539.678,21222.084,21317.594,28129.029,47533944.25,3105.0,103.13,1578661.17,3.0,Low,40709.33642,39352.719445
Oceania,2019,13300.642,43278.151,21585.15,21693.003,28525.534,48888572.84,3116.0,104.38,1637507.58,3.1,Low,38232.881453,37365.821913
Oceania,2020,13464.606,43933.426,21906.754,22026.675,28919.183,49537269.74,3110.0,104.6,1665938.42,2.9,Low,38916.084574,38462.318429
Oceania,2021,13623.859,44491.724,22183.927,22307.798,29309.513,49980234.01,3098.0,100.63,1623306.49,3.3,Low,46549.407542,44930.583251
South America,2010,69682.983,393078.25,198556.613,194521.639,325597.221,435844427.3,3040.0,90.9,13033773.39,20.1,Moderate,9791.163909,9458.887625
South America,2011,69488.168,397135.127,200668.814,196466.311,330097.986,443675263.33,3063.0,92.06,13336705.72,18.8,Moderate,11125.387364,10743.897858
South America,2012,69293.103,401166.824,202766.141,198400.681,334583.041,446412144.98,3051.0,91.66,13413673.55,17.9,Moderate,11146.437961,10818.356958
South America,2013,69098.625,405147.888,204835.927,200311.961,339033.009,453388760.54,3068.0,93.15,13765795.21,16.5,Moderate,11244.741443,10997.665292
South America,2014,68892.263,409128.833,206895.466,202233.369,343433.058,463156864.6,3103.0,94.25,14066278.15,14.7,Moderate,10942.000079,10693.858722
South America,2015,68667.877,413134.396,208962.492,204171.905,347768.234,462886502.23,3072.0,93.46,14084445.78,16.3,Moderate,9089.867734,8895.104068
South America,2016,68426.267,417101.738,211013.838,206087.901,352031.777,460493266.91,3027.0,92.18,14025077.14,22.0,Moderate,8639.970662,8445.463069
South America,2017,68168.762,420982.586,213020.461,207962.13,356224.855,466608470.48,3039.0,93.34,14332642.63,20.5,Moderate,9527.397942,9284.666168
South America,2018,67887.786,424740.675,214961.14,209779.535,360352.729,474776316.75,3064.0,95.05,14726247.58,21.2,Moderate,8856.282891,8518.035667
South America,2019,67584.109,428318.159,216817.124,211501.037,364414.366,480574281.86,3076.0,94.24,14722951.23,20.6,Moderate,8333.15791,8013.844836
South America,2020,67258.166,431530.043,218515.352,213014.694,368408.682,484598948.64,3079.0,94.79,14920777.33,25.4,Moderate,6790.894636,6599.351425
South America,2021,66909.984,434254.12,219986.917,214267.206,372332.403,492188707.64,3107.0,94.82,15018208.87,28.2,Moderate,7760.486407,7474.150761
