Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","1055233.393","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","525866.141","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","529367.256","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","640859.299","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","408587.045","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","1082675.797","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","539676.242","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","542999.555","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","652803.773","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","424130.04","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","1110797.233","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","553822.18","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","556975.054","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","665140.073","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","440145.195","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","1140180.579","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","568590.645","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","571589.936","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","677663.811","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","456734.381","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","1170299.019","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 No","583740.913","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 No","586558.108","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","690251.653","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","473878.136","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","1201107.939","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 No","599298.323","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 No","601809.613","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","702838.816","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","491531.092","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","1232111.607","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 No","614883.178","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 No","617228.434","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","715396.624","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","509683.886","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","1263333.738","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 No","630519.664","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 No","632814.077","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","727896.702","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","528371.323","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1295265.048","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","646554.745","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","648710.305","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","740318.336","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","547602.182","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1327701.165","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","662826.92","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","664874.241","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","752651.097","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","567387.619","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1360677.233","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","679360.411","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","681316.821","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","764884.396","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","587737.793","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1393676.446","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","695883.356","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","697793.092","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","777000.214","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","608654.401","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","345272.107","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","170168.733","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","175103.374","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","65867.231","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","277069.696","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","348326.005","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","171746.332","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","176579.677","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","65813.919","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","279902.483","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","351468.985","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","173447.11","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","178021.875","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","65753.139","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","282608.914","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","354564.457","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","175119.253","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","179445.203","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","65653.885","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","285263.744","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","357563.869","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 No","176732.932","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 No","180830.936","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","65528.82","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","287919.728","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","360464.919","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 No","178285.477","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 No","182179.441","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","65387.12","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","290616.421","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","363448.679","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 No","179877.725","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 No","183570.953","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","65230.924","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","293362.886","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","366470.739","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 No","181488.038","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 No","184982.7","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","65054.421","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","296153.39","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","369300.737","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","182992.32","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","186308.418","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","64857.38","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","298987.11","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","371967.923","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","184403.3","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","187564.623","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","64638.685","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","301858.117","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","373956.671","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","185394.358","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","188562.314","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","64397.379","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","304761.178","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","375278.947","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","185965.129","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","189313.816","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","64133.908","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","307697.259","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","156064.198","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","76676.879","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","79387.32","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","44851.238","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","115705.357","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","158384.478","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","77819.845","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","80564.637","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","44986.303","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","118042.061","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","160696.992","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","78961.546","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","81735.446","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","45101.039","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","120366.085","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","162936.805","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","80063.781","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","82873.021","X","Figure from international organizations",""
