Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","167.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","169","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","171.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","176.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","181.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","192.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","207","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","211.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","221.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","231","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","256.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","269.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","021","Northern America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","10","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","10","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","9.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","10.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","10.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","10.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","10.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","10.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","10.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","9.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","9.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","10.3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","20.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","18.8","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","17.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","16.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","14.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","16.3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","22","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","20.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","21.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","20.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","25.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","28.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","391.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","362.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","359.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","345.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","317.8","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","336.3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","314.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","284.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","289.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","305.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","361.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","142","Asia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","384.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","150","Europe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","","Q","Missing value; suppressed","Not Available | Food and Agriculture Organization of the United Nations (FAO) | Missing value GÇô suppressed"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","2.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","2.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","2.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","2.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","2.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","2.8","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","2.8","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","2.8","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","3.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","2.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","009","Oceania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","3.3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
